protocol_slug,protocol_id,size_mb,status_code,error,retries
bridge-mutual,788,1.54,200,,0
polygonfarm-finance,790,2.23,200,,0
pinyottas,792,1.1,200,,0
cashio,793,0.21,200,,0
oolongswap,794,0.83,200,,0
senpaiswap,795,0.77,200,,0
draco-force,796,1.49,200,,0
katana-dex,797,0.69,200,,0
adena-finance,798,0.41,200,,0
rubicon,799,1.12,200,,0
zigzag,800,0.78,200,,0
cbridge,801,11.97,200,,0
squiddao,802,0.33,200,,0
ottopia,803,0.61,200,,0
gyro,804,0.6,200,,0
snowbank,805,0.67,200,,0
glide-finance,806,0.9,200,,0
blizz-finance,807,0.57,200,,0
swift-finance,808,1.6,200,,0
polyyeld-finance,809,2.02,200,,0
zenlink-amm,810,3.42,200,,0
kebab-finance,811,1.71,200,,0
empiredex,812,2.71,200,,0
loop-finance,814,0.82,200,,0
pureswap,815,0.86,200,,0
xsigma,816,1.27,200,,0
cashcow-finance,817,3.86,200,,0
cashcow-protocol,818,0.76,200,,0
helios-prime,819,0.52,200,,0
doki-doki-finance,820,2.02,200,,0
undead-finance,821,1.3,200,,0
fantompup,822,1.26,200,,0
tomofinance,823,0.27,200,,0
euphoria,824,0.87,200,,0
nft20,825,1.36,200,,0
minmax-finance,826,1.15,200,,0
layer2-finance,827,0.68,200,,0
crodex,828,1.51,200,,0
standard-protocol-shiden,829,1.52,200,,0
revest-finance,830,2.94,200,,0
vvs-standard,831,2.64,200,,0
hector-treasury,832,0.79,200,,0
zoomswap,833,2.32,200,,0
bscstation,834,1.48,200,,0
suterusu,835,1.0,200,,0
cronaswap,836,4.3,200,,0
arenaswap,837,1.14,200,,0
component,838,1.63,200,,0
hades-swap,839,0.18,200,,0
bunnypark,840,1.08,200,,0
swapp,841,0.82,200,,0
matrix-farm,842,2.86,200,,0
unirex-finance,843,0.89,200,,0
zyxswap,844,0.32,200,,0
axial,845,1.47,200,,0
klend,846,4.43,200,,0
photonswap-finance,847,1.76,200,,0
talent-protocol-v1,848,0.34,200,,0
capital-dao,849,1.05,200,,0
polyroll,850,0.9,200,,0
nest-protocol-staking,851,1.42,200,,0
demeter,852,1.54,200,,0
axedao,853,0.29,200,,0
xexchange,854,0.77,200,,0
risq-protocol,855,0.63,200,,0
fortune-dao,856,0.26,200,,0
aliensfarm,857,1.2,200,,0
piggybank-dao,858,0.37,200,,0
snowdog,859,0.44,200,,0
cougarswap,860,12.7,200,,0
bear-finance,861,0.51,200,,0
quarry,862,5.4,200,,0
yoshi-exchange,863,4.59,200,,0
wrapped-bnb,864,0.33,200,,0
seeder-finance,865,0.39,200,,0
reverse,866,0.57,200,,0
gibxswap,867,1.03,200,,0
saffron-finance,868,1.08,200,,0
pop-town,869,1.0,200,,0
defily,870,0.7,200,,0
mintswap,871,1.09,200,,0
skeleton-finance,872,3.29,200,,0
bscswap,873,1.16,200,,0
ichi,874,11.15,200,,0
templedao,875,1.17,200,,0
yield-protocol,876,1.23,200,,0
dungeonswap,877,1.02,200,,0
unilend-v1,878,1.75,200,,0
deerfi,879,0.52,200,,0
marshmallowdefi,880,2.13,200,,0
safeohm,881,0.3,200,,0
lumenswap,882,0.33,200,,0
smartdex,883,1.22,200,,0
corgiswap,884,0.97,200,,0
enosys-amm-v2,885,0.67,200,,0
position-exchange,886,1.21,200,,0
swapperchan,887,0.66,200,,0
revault,888,0.74,200,,0
8ightdao,889,0.34,200,,0
oh-finance,890,1.0,200,,0
onedao-finance,891,0.46,200,,0
smolswap,892,0.85,200,,0
retrodefi,893,2.65,200,,0
velora,894,1.33,200,,0
blackpool,895,1.28,200,,0
kwikswap,896,1.91,200,,0
mesher,897,3.47,200,,0
beglobal-finance,898,1.64,200,,0
kimochi,899,1.45,200,,0
rocket-pool,900,0.8,200,,0
everestdao,901,0.13,200,,0
hswap,902,1.7,200,,0
miniswap,903,0.95,200,,0
typhoon-cash,904,0.33,200,,0
tangoswap,905,0.95,200,,0
impossible-finance,906,4.48,200,,0
cyborgswap,907,1.33,200,,0
knit-finance,908,2.15,200,,0
kronos-dao,909,0.78,200,,0
golff-protocol,910,1.85,200,,0
sumswap,911,0.71,200,,0
flrloans,912,0.41,200,,0
defrost,913,1.58,200,,0
vampireswap,914,1.25,200,,0
definix,915,1.35,200,,0
pika,916,0.38,200,,0
pacoca,917,1.17,200,,0
klondike-finance,918,0.99,200,,0
raven,920,1.63,200,,0
dao-maker-vesting,921,6.22,200,,0
big-data-protocol,922,1.96,200,,0
leonicornswap,923,1.25,200,,0
butterswap,924,2.21,200,,0
oddz,925,1.74,200,,0
metaversepro,926,0.64,200,,0
pidao-finance,927,0.81,200,,0
fortress,928,0.49,200,,0
radao,929,0.59,200,,0
maximizer,930,0.51,200,,0
genesis-finance,931,0.74,200,,0
xensa,932,0.31,200,,0
nidhi-dao,933,0.16,200,,0
invictusdao,934,0.37,200,,0
manifest,936,0.65,200,,0
hex,937,1.0,200,,0
bitant,938,0.73,200,,0
r-u-generous,939,0.62,200,,0
soda-protocol,940,0.57,200,,0
unipower,941,1.74,200,,0
knightswap-finance,942,3.71,200,,0
shinobi,943,0.34,200,,0
platypus-finance,944,1.97,200,,0
jade-protocol,945,0.25,200,,0
freeliquid,946,0.99,200,,0
polyshield,947,1.89,200,,0
monox,948,1.16,200,,0
lobis,949,0.34,200,,0
arcx,950,0.6,200,,0
4swap,951,0.3,200,,0
flatqube,952,0.13,200,,0
nearpad,953,1.03,200,,0
rex-staking,954,0.35,200,,0
houses-of-rome,955,0.78,200,,0
swarm-markets,956,1.18,200,,0
flame-defi,957,0.5,200,,0
ester-finance,958,2.13,200,,0
alpaca-city,959,1.31,200,,0
1bch,960,0.9,200,,0
fantohm,961,1.3,200,,0
retreeb,962,0.63,200,,0
vexchange,963,0.38,200,,0
nemesis-dao,964,0.7,200,,0
moondao,965,0.36,200,,0
cerberusdao,966,0.46,200,,0
babylon-finance,967,1.02,200,,0
zai-finance,968,0.44,200,,0
dehive,969,8.75,200,,0
drift-trade,970,1.37,200,,0
nftb,971,0.57,200,,0
xeus,973,0.55,200,,0
taichi,974,0.36,200,,0
omicron,975,0.29,200,,0
wingswap,976,0.9,200,,0
tornadao,977,0.7,200,,0
chickenswap,978,1.5,200,,0
partyswap,979,1.0,200,,0
wannaswap,980,1.27,200,,0
kafe-finance,981,0.21,200,,0
vikingsfinance,982,0.29,200,,0
galaxygoogle-dao,984,0.38,200,,0
